x,y,z,xh,yh,zh,f_xyz,image_name
605.8,35.1,1237.2,-1.9,-143.0,0.0,"[167091,137512,42119,65947,0,544265]",pos2165-0-buildingData-5
603.7,35.1,1237.1,1.4,42.0,0.0,"[0,0,0,0,0,958441]",pos2165-1-buildingData-5
602.0,40.1,1231.4,2.8,63.1,0.0,"[0,0,0,0,0,958441]",pos2165-0-buildingData-10
603.2,40.1,1236.5,4.8,126.1,0.0,"[0,0,203697,0,0,754744]",pos2165-1-buildingData-10
600.1,45.1,1235.3,1.6,-169.4,0.0,"[43487,22505,95577,79200,0,716419]",pos2165-0-buildingData-15
604.7,45.1,1233.3,0.6,-20.8,-0.0,"[37,73,63451,786,0,894094]",pos2165-1-buildingData-15
603.6,55.1,1230.8,-4.6,-22.3,0.0,"[1253,326,565400,1876,0,389518]",pos2165-0-buildingData-25
604.3,55.1,1238.5,4.9,99.8,0.0,"[0,0,217210,0,0,741231]",pos2165-1-buildingData-25
597.3,75.1,1237.9,-4.1,-87.6,0.0,"[79674,103242,514566,9133,0,250820]",pos2165-0-buildingData-45
601.2,75.1,1237.5,2.9,23.9,-0.0,"[27005,3505,29911,4468,0,892627]",pos2165-1-buildingData-45
604.0,100.1,1236.4,-3.9,143.3,0.0,"[0,0,3770,0,0,954671]",pos2165-0-buildingData-70
597.2,100.1,1231.7,-3.9,-37.4,0.0,"[15794,9401,287145,8178,0,636684]",pos2165-1-buildingData-70
596.7,150.1,1233.3,4.3,157.8,0.0,"[10698,150,2351,3646,0,941405]",pos2165-0-buildingData-120
600.3,150.1,1237.8,2.9,124.4,-0.0,"[0,0,5948,0,0,952493]",pos2165-1-buildingData-120
596.4,200.1,1231.5,-0.8,-92.6,-0.0,"[153231,107021,101649,41166,0,551933]",pos2165-0-buildingData-170
604.4,200.1,1235.3,-4.1,-91.1,-0.0,"[188397,108295,131708,58602,0,467747]",pos2165-1-buildingData-170
597.3,250.1,1237.3,-3.4,76.1,-0.0,"[0,0,0,0,0,958441]",pos2165-0-buildingData-220
598.8,250.1,1229.0,-0.9,-128.4,-0.0,"[48505,31315,97093,48956,0,728433]",pos2165-1-buildingData-220
598.2,300.1,1230.0,-2.4,-164.8,0.0,"[2307,0,23984,0,0,932150]",pos2165-0-buildingData-270
603.6,300.1,1230.1,2.3,11.4,0.0,"[30620,3824,29637,6148,0,886961]",pos2165-1-buildingData-270
