x,y,z,xh,yh,zh,f_xyz,image_name
2789.7,10.0,1998.1,-1.2,-88.4,0.0,"[5856,0,0,0,0,377305]",pos1994-0-buildingData-20
2789.7,10.0,1998.1,-1.1,-87.5,-0.0,"[5919,0,0,0,0,377242]",pos1994-1-buildingData-20
2789.7,49.3,1998.1,1.3,73.1,-0.0,"[45754,0,0,0,23610,313797]",pos1994-0-buildingData-60
2789.7,49.3,1998.1,-4.3,34.2,0.0,"[25774,0,0,0,25127,332260]",pos1994-1-buildingData-60
2789.7,89.3,1998.1,1.8,-177.3,-0.0,"[0,0,0,0,0,383161]",pos1994-0-buildingData-100
2789.7,89.3,1998.1,1.5,15.4,-0.0,"[18243,0,0,0,4251,360667]",pos1994-1-buildingData-100
2789.7,129.3,1998.1,2.5,-119.5,0.0,"[0,0,0,0,0,383161]",pos1994-0-buildingData-140
2789.7,129.3,1998.1,-2.1,-161.7,0.0,"[0,0,0,0,0,383161]",pos1994-1-buildingData-140
2789.7,189.3,1998.1,0.9,-46.1,-0.0,"[0,0,0,0,0,383161]",pos1994-0-buildingData-200
2789.7,189.3,1998.1,-1.4,25.0,-0.0,"[40844,0,0,0,27200,315117]",pos1994-1-buildingData-200
