,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,13992
test_size,3498
num_epochs,1000
pos_enc_dim,10
tsp,1
batch_size,1024
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.09268153  120.55114923 1067.89079474]
xyz_max-min,3001.2
xyzh_centroid,[-0.01069754  1.36591195  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,208
final_training_loss,0.005323325057517739
final_test_loss,0.06442944481415092
training_losses_summary,"[[0.50706035 0.79312203]
 [0.08935192 0.03670366]
 [0.06042497 0.03507969]
 [0.04805101 0.0339828 ]
 [0.0365204  0.03145884]
 [0.02484317 0.02493778]
 [0.01766746 0.01697236]
 [0.01311942 0.01121628]
 [0.0098177  0.007715  ]
 [0.00763431 0.00574538]]"
test_losses_summary,"[[0.50241237 0.78127785]
 [0.09551266 0.03930287]
 [0.0777562  0.03831742]
 [0.07247294 0.03819578]
 [0.07165633 0.03817012]
 [0.07480708 0.03819881]
 [0.07780247 0.03881717]
 [0.07940614 0.03963486]
 [0.08148838 0.04191181]
 [0.08255711 0.04369391]]"
