,x,y,z,xh,yh,zh,f_xyz,image_name
0,85.0,54.3,241.4,-1.4,43.0,0.0,"[219044,0,0,0,0,164117]",pos967-0-buildingData-20
1,85.0,54.3,241.4,-2.2,-168.9,-0.0,"[299046,0,0,0,4,84111]",pos967-1-buildingData-20
2,85.0,94.3,241.4,4.5,137.7,-0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-60
3,85.0,94.3,241.4,4.0,-78.8,0.0,"[225115,0,0,0,237,157809]",pos967-1-buildingData-60
4,85.0,134.3,241.4,2.6,-123.3,0.0,"[61736,0,0,0,5724,315701]",pos967-0-buildingData-100
5,85.0,134.3,241.4,3.6,135.3,-0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-100
6,85.0,174.3,241.4,3.3,10.6,-0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-140
7,85.0,174.3,241.4,3.3,-150.2,0.0,"[37425,0,0,0,1636,344100]",pos967-1-buildingData-140
8,85.0,234.3,241.4,1.9,-178.5,0.0,"[2006,0,0,0,174,380981]",pos967-0-buildingData-200
9,85.0,234.3,241.4,3.2,123.9,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-200
0,500.5,49.0,387.9,2.6,36.4,-0.0,"[109966,0,0,0,0,273195]",pos41-0-buildingData-20
1,500.5,49.0,387.9,3.1,76.5,-0.0,"[49354,0,0,0,0,333807]",pos41-1-buildingData-20
2,500.5,89.0,387.9,1.6,-83.0,0.0,"[14791,0,0,0,6375,361995]",pos41-0-buildingData-60
3,500.5,89.0,387.9,4.2,-155.5,-0.0,"[39973,0,0,0,4174,339014]",pos41-1-buildingData-60
4,500.5,129.0,387.9,-1.1,104.8,-0.0,"[108698,0,0,1,0,274462]",pos41-0-buildingData-100
5,500.5,129.0,387.9,2.3,-104.4,0.0,"[55511,0,0,0,11227,316423]",pos41-1-buildingData-100
6,500.5,169.0,387.9,-2.5,113.6,0.0,"[82039,0,0,2,61,301059]",pos41-0-buildingData-140
7,500.5,169.0,387.9,0.3,-118.7,0.0,"[76701,0,0,0,14736,291724]",pos41-1-buildingData-140
8,500.5,229.0,387.9,0.2,-42.4,0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-200
9,500.5,229.0,387.9,-4.3,27.0,-0.0,"[5578,0,0,0,0,377583]",pos41-1-buildingData-200
0,2683.6,10.0,743.8,2.8,65.1,-0.0,"[68239,0,0,0,14,314908]",pos863-0-buildingData-20
1,2683.6,10.0,743.8,-3.5,131.2,0.0,"[74573,0,0,0,413,308175]",pos863-1-buildingData-20
2,2683.6,48.8,743.8,-1.2,44.0,-0.0,"[29119,0,0,0,17,354025]",pos863-0-buildingData-60
3,2683.6,48.8,743.8,2.6,26.6,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-60
4,2683.6,88.8,743.8,3.4,92.9,0.0,"[119100,0,0,1,13716,250344]",pos863-0-buildingData-100
5,2683.6,88.8,743.8,-2.0,-91.5,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-100
6,2683.6,128.8,743.8,-3.9,-52.4,-0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-140
7,2683.6,128.8,743.8,0.4,-124.4,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-140
8,2683.6,188.8,743.8,-4.7,169.7,-0.0,"[20412,0,0,0,1731,361018]",pos863-0-buildingData-200
9,2683.6,188.8,743.8,-0.1,137.8,0.0,"[120533,0,0,1,10064,252563]",pos863-1-buildingData-200
0,7.5,55.4,7.7,-2.0,146.0,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-20
1,7.5,55.4,7.7,-4.4,-5.1,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-20
2,7.5,95.4,7.7,-4.0,151.7,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-60
3,7.5,95.4,7.7,1.5,-66.2,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-60
4,7.5,135.4,7.7,-4.4,57.4,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-100
5,7.5,135.4,7.7,2.8,120.1,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-100
6,7.5,175.4,7.7,-0.4,-38.1,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-140
7,7.5,175.4,7.7,0.3,-153.7,0.0,"[91282,0,0,0,3920,287959]",pos961-1-buildingData-140
8,7.5,235.4,7.7,2.2,94.2,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-200
9,7.5,235.4,7.7,3.9,101.8,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-200
0,2270.4,23.0,999.2,-3.1,43.1,-0.0,"[347002,0,0,0,0,36159]",pos806-0-buildingData-20
1,2270.4,23.0,999.2,-2.3,-39.8,-0.0,"[2885,0,0,0,0,380276]",pos806-1-buildingData-20
2,2270.4,63.0,999.2,-4.2,45.5,-0.0,"[374382,0,0,0,0,8779]",pos806-0-buildingData-60
3,2270.4,63.0,999.2,0.8,-57.2,0.0,"[0,0,0,0,0,383161]",pos806-1-buildingData-60
4,2270.4,103.0,999.2,4.2,174.7,-0.0,"[176145,0,0,0,0,207016]",pos806-0-buildingData-100
5,2270.4,103.0,999.2,1.8,110.1,0.0,"[168810,0,0,0,20786,193565]",pos806-1-buildingData-100
6,2270.4,143.0,999.2,-4.4,86.4,0.0,"[211126,0,0,0,14388,157647]",pos806-0-buildingData-140
7,2270.4,143.0,999.2,-2.9,-30.2,-0.0,"[28069,0,0,0,0,355092]",pos806-1-buildingData-140
8,2270.4,203.0,999.2,2.9,69.1,0.0,"[84636,0,0,0,17294,281231]",pos806-0-buildingData-200
9,2270.4,203.0,999.2,-4.4,-118.5,0.0,"[4057,0,0,0,263,378841]",pos806-1-buildingData-200
0,766.5,49.0,767.1,-4.0,-65.8,-0.0,"[24440,0,0,0,10246,348475]",pos1330-0-buildingData-20
1,766.5,49.0,767.1,2.0,15.1,0.0,"[3123,0,0,0,0,380038]",pos1330-1-buildingData-20
2,766.5,89.0,767.1,-3.3,89.9,0.0,"[16647,0,0,0,1523,364991]",pos1330-0-buildingData-60
3,766.5,89.0,767.1,-2.0,-38.6,0.0,"[7166,0,0,0,1850,374145]",pos1330-1-buildingData-60
4,766.5,129.0,767.1,-2.2,-145.9,-0.0,"[140853,0,0,0,39222,203086]",pos1330-0-buildingData-100
5,766.5,129.0,767.1,-0.1,136.2,0.0,"[914,0,0,0,0,382247]",pos1330-1-buildingData-100
6,766.5,169.0,767.1,1.4,-20.6,-0.0,"[0,0,0,0,0,383161]",pos1330-0-buildingData-140
