x,y,z,xh,yh,zh,f_xyz,image_name
500.5,41.1,141.2,1.1,-50.6,-0.0,"[0,0,0,0,0,383161]",pos32-0-buildingData-5
500.5,41.1,140.2,4.0,147.7,0.0,"[0,0,0,0,0,383161]",pos32-1-buildingData-5
504.4,46.1,137.1,-1.5,117.0,0.0,"[36864,0,0,0,0,346297]",pos32-0-buildingData-10
497.7,46.1,141.8,-3.6,127.3,0.0,"[27099,0,0,0,0,356062]",pos32-1-buildingData-10
497.9,51.1,137.9,-4.7,53.8,-0.0,"[0,0,0,0,0,383161]",pos32-0-buildingData-15
503.8,51.1,137.3,-1.9,178.7,0.0,"[1279,0,0,0,0,381882]",pos32-1-buildingData-15
500.4,61.1,141.9,1.5,-27.8,0.0,"[0,0,0,0,0,383161]",pos32-0-buildingData-25
502.2,61.1,136.4,2.3,112.4,0.0,"[202421,0,0,0,0,180740]",pos32-1-buildingData-25
502.2,81.1,141.0,3.4,30.3,0.0,"[0,0,0,0,0,383161]",pos32-0-buildingData-45
503.7,81.1,145.6,2.6,141.6,0.0,"[46094,0,0,0,0,337067]",pos32-1-buildingData-45
501.1,106.1,136.0,3.2,-102.9,-0.0,"[30252,0,0,0,0,352909]",pos32-0-buildingData-70
501.0,106.1,143.3,-0.2,-113.2,-0.0,"[44677,0,0,0,0,338484]",pos32-1-buildingData-70
501.5,156.1,138.6,1.7,50.1,0.0,"[0,0,0,0,0,383161]",pos32-0-buildingData-120
504.5,156.1,141.0,1.3,87.5,0.0,"[68051,0,0,0,0,315110]",pos32-1-buildingData-120
499.3,206.1,138.8,3.8,137.2,0.0,"[14186,0,0,0,0,368975]",pos32-0-buildingData-170
505.2,206.1,145.5,-3.2,122.2,0.0,"[72045,0,0,0,0,311116]",pos32-1-buildingData-170
501.6,256.1,137.6,-0.0,30.1,0.0,"[0,0,0,0,0,383161]",pos32-0-buildingData-220
503.2,256.1,145.0,4.5,-160.7,-0.0,"[79107,0,0,0,0,304054]",pos32-1-buildingData-220
498.0,306.1,145.4,-4.1,-93.3,0.0,"[43731,0,0,0,245,339185]",pos32-0-buildingData-270
501.4,306.1,138.6,1.5,145.2,0.0,"[53,0,0,0,0,383108]",pos32-1-buildingData-270
