,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,13992
test_size,3498
num_epochs,1000
pos_enc_dim,10
tsp,1
batch_size,1024
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.09268153  120.55114923 1067.89079474]
xyz_max-min,3001.2
xyzh_centroid,[0.03178388 0.12336192 0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,222
final_training_loss,0.005030921892129341
final_test_loss,0.024498640016209078
training_losses_summary,"[[0.56315617 0.92194804]
 [0.08959064 0.00094978]
 [0.05914127 0.00095668]
 [0.03900892 0.00094254]
 [0.03075048 0.00093246]
 [0.0254264  0.00092674]
 [0.020711   0.0009233 ]
 [0.01679909 0.00092196]
 [0.01374571 0.00092142]
 [0.01123328 0.00092091]]"
test_losses_summary,"[[0.55890853 0.90891108]
 [0.09401741 0.00120076]
 [0.06758827 0.00120201]
 [0.05236892 0.00118088]
 [0.04746939 0.00117082]
 [0.04591348 0.00116452]
 [0.04572424 0.00116147]
 [0.04609817 0.00116039]
 [0.04652039 0.00116029]
 [0.04724545 0.00116027]]"
