,x,y,z,xh,yh,zh,f_xyz,image_name
0,85.0,54.3,241.4,-4.1,-99.8,0.0,"[105233,0,0,0,0,277928]",pos967-0-buildingData-20
1,85.0,54.3,241.4,2.0,17.8,0.0,"[342905,0,0,0,0,40256]",pos967-1-buildingData-20
2,85.0,94.3,241.4,4.6,-89.5,0.0,"[211909,0,0,0,0,171252]",pos967-0-buildingData-60
3,85.0,94.3,241.4,3.6,33.3,0.0,"[40657,0,0,0,0,342504]",pos967-1-buildingData-60
4,85.0,134.3,241.4,0.3,-34.9,0.0,"[31673,0,0,0,0,351488]",pos967-0-buildingData-100
5,85.0,134.3,241.4,1.8,161.0,0.0,"[31801,0,0,0,0,351360]",pos967-1-buildingData-100
6,85.0,174.3,241.4,-4.3,118.5,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-140
7,85.0,174.3,241.4,2.4,99.2,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-140
8,85.0,234.3,241.4,-0.2,-152.8,-0.0,"[44373,0,0,0,0,338788]",pos967-0-buildingData-200
9,85.0,234.3,241.4,0.4,-72.1,-0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-200
0,500.5,49.0,387.9,-3.5,60.3,0.0,"[66015,0,0,0,0,317146]",pos41-0-buildingData-20
1,500.5,49.0,387.9,-2.9,-58.5,-0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-20
2,500.5,89.0,387.9,4.8,-60.7,-0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-60
3,500.5,89.0,387.9,2.2,-151.0,0.0,"[44257,0,0,0,0,338904]",pos41-1-buildingData-60
4,500.5,129.0,387.9,3.9,114.1,0.0,"[72102,0,0,1,0,311058]",pos41-0-buildingData-100
5,500.5,129.0,387.9,0.0,-13.8,0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-100
6,500.5,169.0,387.9,2.0,-60.2,-0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-140
7,500.5,169.0,387.9,-0.4,-80.2,0.0,"[28867,0,0,0,0,354294]",pos41-1-buildingData-140
8,500.5,229.0,387.9,1.2,98.1,0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-200
9,500.5,229.0,387.9,1.8,-22.9,0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-200
0,2683.6,10.0,743.8,-0.4,-6.1,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-20
1,2683.6,10.0,743.8,1.8,-155.1,-0.0,"[2024,0,0,0,0,381137]",pos863-1-buildingData-20
2,2683.6,48.8,743.8,-0.5,-164.0,0.0,"[3548,0,0,0,0,379613]",pos863-0-buildingData-60
3,2683.6,48.8,743.8,-4.9,91.9,0.0,"[107503,0,0,0,498,275160]",pos863-1-buildingData-60
4,2683.6,88.8,743.8,3.1,-106.3,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-100
5,2683.6,88.8,743.8,-4.8,-165.3,0.0,"[4876,0,0,0,0,378285]",pos863-1-buildingData-100
6,2683.6,128.8,743.8,-1.6,-24.2,-0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-140
7,2683.6,128.8,743.8,3.5,-11.6,-0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-140
8,2683.6,188.8,743.8,2.3,-176.1,-0.0,"[13337,0,0,0,0,369824]",pos863-0-buildingData-200
9,2683.6,188.8,743.8,-3.8,-15.0,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-200
0,7.5,55.4,7.7,4.1,-96.0,0.0,"[30966,0,0,0,0,352195]",pos961-0-buildingData-20
1,7.5,55.4,7.7,-1.9,122.0,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-20
2,7.5,95.4,7.7,2.5,60.3,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-60
3,7.5,95.4,7.7,2.5,-72.2,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-60
4,7.5,135.4,7.7,0.8,-35.0,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-100
5,7.5,135.4,7.7,-2.0,18.4,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-100
6,7.5,175.4,7.7,2.0,32.6,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-140
7,7.5,175.4,7.7,2.1,33.1,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-140
8,7.5,235.4,7.7,3.8,119.9,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-200
9,7.5,235.4,7.7,1.5,118.9,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-200
0,2270.4,23.0,999.2,1.8,-170.2,0.0,"[198597,0,0,0,0,184564]",pos806-0-buildingData-20
1,2270.4,23.0,999.2,-1.1,-95.6,0.0,"[0,0,0,0,0,383161]",pos806-1-buildingData-20
2,2270.4,63.0,999.2,-1.6,37.0,0.0,"[319047,0,0,0,0,64114]",pos806-0-buildingData-60
3,2270.4,63.0,999.2,-0.2,127.7,0.0,"[334088,0,0,0,0,49073]",pos806-1-buildingData-60
4,2270.4,103.0,999.2,3.2,98.8,0.0,"[173042,0,0,0,5422,204697]",pos806-0-buildingData-100
5,2270.4,103.0,999.2,-1.6,19.9,-0.0,"[159436,0,0,0,0,223725]",pos806-1-buildingData-100
6,2270.4,143.0,999.2,-1.3,-139.6,0.0,"[5986,0,0,0,0,377175]",pos806-0-buildingData-140
7,2270.4,143.0,999.2,2.1,-143.5,0.0,"[6905,0,0,0,0,376256]",pos806-1-buildingData-140
8,2270.4,203.0,999.2,-1.3,33.7,0.0,"[83683,0,0,1,1036,298441]",pos806-0-buildingData-200
9,2270.4,203.0,999.2,-0.2,-9.8,-0.0,"[5824,0,0,0,0,377337]",pos806-1-buildingData-200
0,766.5,49.0,767.1,0.7,-155.7,0.0,"[52942,0,0,0,0,330219]",pos1330-0-buildingData-20
1,766.5,49.0,767.1,-1.9,75.0,0.0,"[9197,0,0,0,0,373964]",pos1330-1-buildingData-20
2,766.5,89.0,767.1,-3.3,-125.3,-0.0,"[129599,0,0,0,736,252826]",pos1330-0-buildingData-60
3,766.5,89.0,767.1,2.0,-167.9,-0.0,"[105239,0,0,0,0,277922]",pos1330-1-buildingData-60
4,766.5,129.0,767.1,3.3,-176.0,-0.0,"[130576,0,0,0,0,252585]",pos1330-0-buildingData-100
5,766.5,129.0,767.1,4.2,-117.6,0.0,"[141061,0,0,0,1132,240968]",pos1330-1-buildingData-100
6,766.5,169.0,767.1,-3.7,153.8,0.0,"[52779,0,0,0,0,330382]",pos1330-0-buildingData-140
7,766.5,169.0,767.1,-2.3,121.1,-0.0,"[762,0,0,0,0,382399]",pos1330-1-buildingData-140
8,766.5,229.0,767.1,-0.9,-94.9,0.0,"[140231,0,0,0,0,242930]",pos1330-0-buildingData-200
9,766.5,229.0,767.1,-1.3,145.1,0.0,"[3973,0,0,0,0,379188]",pos1330-1-buildingData-200
0,1259.2,46.0,1330.7,0.6,-39.0,0.0,"[291010,0,0,0,0,92151]",pos1879-0-buildingData-20
1,1259.2,46.0,1330.7,0.1,-26.1,-0.0,"[280515,0,0,0,0,102646]",pos1879-1-buildingData-20
2,1259.2,86.0,1330.7,-0.3,77.3,0.0,"[165322,0,0,0,0,217839]",pos1879-0-buildingData-60
3,1259.2,86.0,1330.7,0.6,-174.9,0.0,"[214908,0,0,0,0,168253]",pos1879-1-buildingData-60
4,1259.2,126.0,1330.7,-4.2,58.9,0.0,"[180075,0,0,0,0,203086]",pos1879-0-buildingData-100
5,1259.2,126.0,1330.7,-1.7,-15.1,0.0,"[200495,0,0,0,0,182666]",pos1879-1-buildingData-100
6,1259.2,166.0,1330.7,3.0,-43.3,0.0,"[96794,0,0,0,32754,253613]",pos1879-0-buildingData-140
7,1259.2,166.0,1330.7,4.8,152.6,-0.0,"[27958,0,0,0,0,355203]",pos1879-1-buildingData-140
8,1259.2,226.0,1330.7,-4.5,-111.0,0.0,"[137624,0,0,0,0,245537]",pos1879-0-buildingData-200
9,1259.2,226.0,1330.7,-2.4,53.5,0.0,"[57056,0,0,0,0,326105]",pos1879-1-buildingData-200
0,2871.8,10.0,1326.0,0.9,114.6,-0.0,"[44375,0,0,0,0,338786]",pos1168-0-buildingData-20
1,2871.8,10.0,1326.0,-4.4,-130.4,0.0,"[0,0,0,0,0,383161]",pos1168-1-buildingData-20
2,2871.8,48.7,1326.0,0.5,33.2,0.0,"[24410,0,0,0,0,358751]",pos1168-0-buildingData-60
3,2871.8,48.7,1326.0,-0.0,-53.5,0.0,"[0,0,0,0,0,383161]",pos1168-1-buildingData-60
4,2871.8,88.7,1326.0,3.2,131.4,-0.0,"[35865,0,0,0,0,347296]",pos1168-0-buildingData-100
5,2871.8,88.7,1326.0,-1.4,36.9,0.0,"[34572,0,0,0,0,348589]",pos1168-1-buildingData-100
6,2871.8,128.7,1326.0,-1.1,140.9,-0.0,"[27037,0,0,0,0,356124]",pos1168-0-buildingData-140
7,2871.8,128.7,1326.0,-1.3,83.5,0.0,"[136329,0,0,0,1507,245325]",pos1168-1-buildingData-140
8,2871.8,188.7,1326.0,4.5,164.4,-0.0,"[14131,0,0,0,0,369030]",pos1168-0-buildingData-200
