x,y,z,xh,yh,zh,f_xyz,image_name
2988.4,10.0,1554.8,-3.8,139.6,0.0,"[92722,0,0,0,0,290439]",pos1082-0-buildingData-5
2989.2,10.0,1554.7,-1.1,113.5,0.0,"[68347,0,0,0,0,314814]",pos1082-1-buildingData-5
2988.5,12.7,1554.9,2.9,91.5,0.0,"[46895,0,0,0,169,336097]",pos1082-0-buildingData-10
2994.8,12.7,1551.1,-2.8,44.8,0.0,"[37634,0,0,0,0,345527]",pos1082-1-buildingData-10
2996.8,17.7,1554.5,-1.2,-110.6,0.0,"[0,0,0,0,0,383161]",pos1082-0-buildingData-15
2993.6,17.7,1555.8,0.1,-131.0,0.0,"[0,0,0,0,0,383161]",pos1082-1-buildingData-15
2991.3,27.7,1554.0,4.2,94.0,0.0,"[48880,0,0,0,0,334281]",pos1082-0-buildingData-25
2997.4,27.7,1551.3,1.3,143.4,0.0,"[107330,0,0,0,0,275831]",pos1082-1-buildingData-25
2996.4,47.7,1553.3,-2.9,148.5,0.0,"[73883,0,0,0,0,309278]",pos1082-0-buildingData-45
2988.1,47.7,1551.7,2.8,-31.8,0.0,"[0,0,0,0,0,383161]",pos1082-1-buildingData-45
2993.8,72.7,1559.1,3.7,142.1,0.0,"[21451,0,0,0,0,361710]",pos1082-0-buildingData-70
2992.1,72.7,1552.4,3.2,42.0,0.0,"[44384,0,0,0,0,338777]",pos1082-1-buildingData-70
2992.8,122.7,1558.0,-1.0,35.7,-0.0,"[32793,0,0,0,0,350368]",pos1082-0-buildingData-120
2994.0,122.7,1550.3,3.0,-121.2,-0.0,"[0,0,0,0,0,383161]",pos1082-1-buildingData-120
2997.7,172.7,1553.2,-4.2,-64.3,0.0,"[0,0,0,0,0,383161]",pos1082-0-buildingData-170
2990.7,172.7,1550.7,-4.4,163.9,0.0,"[2201,0,0,0,0,380960]",pos1082-1-buildingData-170
2991.0,222.7,1558.6,2.0,-33.3,0.0,"[0,0,0,0,0,383161]",pos1082-0-buildingData-220
2990.5,222.7,1554.0,-4.5,8.8,-0.0,"[77,0,0,0,0,383084]",pos1082-1-buildingData-220
2988.0,272.7,1557.9,0.9,-112.5,-0.0,"[0,0,0,0,0,383161]",pos1082-0-buildingData-270
2991.9,272.7,1552.8,-1.0,68.7,0.0,"[128459,0,0,0,982,253720]",pos1082-1-buildingData-270
