,0
classes_names,"['brick', 'concrete', 'marble', 'plaster', 'metal', 'nothing']"
mpc,
non_empty_classes_names,"['brick', 'metal']"
train_size,27984
test_size,6996
num_epochs,1001
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,2
xyz_centroid,[1408.07905946  112.10726701 1067.89239851]
xyz_max-min,3010.0
xyzh_centroid,[ 0.00914808 -0.10405946  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,"4,746"
final_training_loss,0.0002354841307208913
final_test_loss,0.04036528216372497
training_losses_summary,"[[0.34189856 0.11093243]
 [0.01235873 0.00111569]
 [0.00427069 0.00101392]
 [0.0025742  0.00070732]
 [0.00179901 0.0006715 ]
 [0.00139046 0.00062845]
 [0.00107036 0.00013852]
 [0.00077095 0.00006934]
 [0.00065691 0.00005358]
 [0.00055755 0.0000417 ]
 [0.00043691 0.00003406]]"
test_losses_summary,"[[0.21104137 0.00265818]
 [0.0859872  0.00044845]
 [0.09288428 0.00045527]
 [0.09233888 0.00046313]
 [0.09158078 0.00046335]
 [0.08956386 0.00045695]
 [0.0874409  0.00067263]
 [0.08379117 0.00054789]
 [0.08262307 0.00048899]
 [0.0804465  0.00045154]
 [0.08029019 0.00044038]]"
