x,y,z,xh,yh,zh,f_xyz,image_name
601.4,28.2,1439.4,-1.3,-75.2,-0.0,"[1778,0,0,0,0,381383]",pos2095-0-buildingData-5
603.6,28.2,1441.0,-4.4,40.8,0.0,"[0,0,0,0,0,383161]",pos2095-1-buildingData-5
609.1,33.2,1439.1,0.9,8.5,0.0,"[0,0,0,0,0,383161]",pos2095-0-buildingData-10
607.0,33.2,1439.5,-1.5,120.5,0.0,"[0,0,0,0,0,383161]",pos2095-1-buildingData-10
602.5,38.2,1446.6,0.9,-90.6,0.0,"[136666,0,0,0,0,246495]",pos2095-0-buildingData-15
609.1,38.2,1440.7,0.4,-44.7,0.0,"[13005,0,0,0,0,370156]",pos2095-1-buildingData-15
603.9,48.2,1441.7,-4.1,-153.0,0.0,"[191244,0,0,0,0,191917]",pos2095-0-buildingData-25
606.5,48.2,1442.3,4.4,-125.5,0.0,"[188727,0,0,2,0,194432]",pos2095-1-buildingData-25
607.9,68.2,1445.1,-2.1,-162.4,-0.0,"[274332,0,0,0,0,108829]",pos2095-0-buildingData-45
607.2,68.2,1445.5,1.8,-61.2,0.0,"[242733,0,0,0,1913,138515]",pos2095-1-buildingData-45
606.4,93.2,1446.3,0.5,-73.3,-0.0,"[203641,0,0,0,3604,175916]",pos2095-0-buildingData-70
601.7,93.2,1438.2,-0.4,163.9,0.0,"[74140,0,0,0,0,309021]",pos2095-1-buildingData-70
604.8,143.2,1443.9,3.9,-50.0,-0.0,"[131631,0,0,0,0,251530]",pos2095-0-buildingData-120
601.2,143.2,1440.7,2.2,32.7,0.0,"[19563,0,0,0,0,363598]",pos2095-1-buildingData-120
607.0,193.2,1440.6,-4.4,82.0,-0.0,"[384,0,0,0,0,382777]",pos2095-0-buildingData-170
604.2,193.2,1437.9,3.6,134.9,0.0,"[0,0,0,0,0,383161]",pos2095-1-buildingData-170
609.9,243.2,1441.9,2.8,103.5,0.0,"[0,0,0,0,0,383161]",pos2095-0-buildingData-220
608.1,243.2,1443.6,0.5,144.3,0.0,"[0,0,0,0,0,383161]",pos2095-1-buildingData-220
606.8,293.2,1440.7,3.2,83.0,0.0,"[0,0,0,0,0,383161]",pos2095-0-buildingData-270
602.8,293.2,1438.5,-2.7,150.8,0.0,"[0,0,0,0,0,383161]",pos2095-1-buildingData-270
