,x,y,z,xh,yh,zh,f_xyz,image_name
0,82.3,39.3,243.7,1.9,-159.1,0.0,"[383161,0,0,0,0,0]",pos967-0-buildingData-5
1,86.8,39.3,242.4,1.6,-1.8,0.0,"[57677,0,0,0,0,325484]",pos967-1-buildingData-5
2,90.0,44.3,240.0,-2.5,95.8,-0.0,"[329248,0,0,0,0,53913]",pos967-0-buildingData-10
3,80.4,44.3,238.9,-0.3,131.2,0.0,"[383121,0,0,0,0,40]",pos967-1-buildingData-10
4,83.7,49.3,240.9,-0.7,-120.2,-0.0,"[59675,0,0,0,0,323486]",pos967-0-buildingData-15
5,80.5,49.3,239.3,-0.6,-46.4,0.0,"[277985,0,0,0,0,105176]",pos967-1-buildingData-15
6,87.4,59.3,241.3,-3.7,-134.1,0.0,"[247376,0,0,0,0,135785]",pos967-0-buildingData-25
7,85.7,59.3,245.9,3.5,25.0,-0.0,"[302068,0,0,0,0,81093]",pos967-1-buildingData-25
8,89.8,79.3,244.5,1.6,-112.1,-0.0,"[152136,0,0,0,236,230789]",pos967-0-buildingData-45
9,81.7,79.3,243.8,0.2,-65.8,-0.0,"[241370,0,0,0,0,141791]",pos967-1-buildingData-45
10,80.7,104.3,237.4,-3.1,-13.3,0.0,"[177423,0,0,0,0,205738]",pos967-0-buildingData-70
11,81.9,104.3,240.1,-1.7,8.9,0.0,"[112623,0,0,0,0,270538]",pos967-1-buildingData-70
12,86.3,154.3,240.7,1.4,-146.8,0.0,"[57950,0,0,0,0,325211]",pos967-0-buildingData-120
13,82.8,154.3,245.0,-0.4,93.8,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-120
14,88.4,204.3,240.0,-0.5,169.3,-0.0,"[11386,0,0,0,0,371775]",pos967-0-buildingData-170
15,81.8,204.3,244.3,-4.1,97.0,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-170
16,85.9,254.3,237.4,-4.8,136.9,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-220
17,81.4,254.3,239.6,-2.7,-12.5,0.0,"[0,0,0,0,0,383161]",pos967-1-buildingData-220
18,81.3,304.3,243.2,-2.1,107.2,0.0,"[0,0,0,0,0,383161]",pos967-0-buildingData-270
19,84.8,304.3,241.8,2.5,-119.0,0.0,"[83414,0,0,0,449,299298]",pos967-1-buildingData-270
0,497.9,34.0,387.8,1.5,104.1,-0.0,"[4354,0,0,0,0,378807]",pos41-0-buildingData-5
1,503.9,34.0,387.5,1.8,-113.7,-0.0,"[34871,0,0,0,764,347526]",pos41-1-buildingData-5
2,501.9,39.0,387.7,-3.9,-173.4,0.0,"[3003,0,0,0,0,380158]",pos41-0-buildingData-10
3,500.2,39.0,392.8,-3.6,-139.9,0.0,"[30862,0,0,0,759,351540]",pos41-1-buildingData-10
4,496.4,44.0,386.8,0.3,117.1,0.0,"[11090,0,0,0,0,372071]",pos41-0-buildingData-15
5,504.1,44.0,392.4,4.5,-122.5,0.0,"[38148,0,0,0,742,344271]",pos41-1-buildingData-15
6,496.0,54.0,392.6,2.1,-155.9,0.0,"[27066,0,0,0,0,356095]",pos41-0-buildingData-25
7,497.1,54.0,383.9,4.1,106.2,-0.0,"[65620,0,0,0,0,317541]",pos41-1-buildingData-25
8,504.6,74.0,390.0,4.8,-60.2,-0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-45
9,503.7,74.0,390.6,4.4,157.0,0.0,"[167,0,0,0,0,382994]",pos41-1-buildingData-45
10,498.3,99.0,392.3,2.8,149.0,-0.0,"[228,0,0,0,0,382933]",pos41-0-buildingData-70
11,504.7,99.0,383.3,-1.7,-107.5,0.0,"[56460,0,0,0,0,326701]",pos41-1-buildingData-70
12,497.4,149.0,386.5,-1.1,-142.6,-0.0,"[74058,0,0,0,1386,307717]",pos41-0-buildingData-120
13,504.2,149.0,389.7,3.0,-102.8,0.0,"[73257,0,0,0,0,309904]",pos41-1-buildingData-120
14,504.5,199.0,385.3,-1.6,24.2,0.0,"[8773,0,0,0,0,374388]",pos41-0-buildingData-170
15,496.7,199.0,386.2,-0.7,36.3,-0.0,"[29094,0,0,0,0,354067]",pos41-1-buildingData-170
16,496.2,249.0,387.1,4.1,-3.8,-0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-220
17,505.4,249.0,387.1,4.5,-2.4,-0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-220
18,497.2,299.0,391.8,0.4,-4.9,0.0,"[0,0,0,0,0,383161]",pos41-0-buildingData-270
19,504.6,299.0,390.2,3.5,-47.4,0.0,"[0,0,0,0,0,383161]",pos41-1-buildingData-270
0,2680.2,10.0,743.5,1.9,16.2,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-5
1,2686.5,10.0,744.5,1.3,-55.4,-0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-5
2,2684.7,10.0,745.9,0.3,-74.0,-0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-10
3,2685.6,10.0,748.2,0.9,26.4,0.0,"[150,0,0,0,0,383011]",pos863-1-buildingData-10
4,2682.0,10.0,746.7,0.5,-83.1,-0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-15
5,2686.1,10.0,747.9,1.1,-60.6,-0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-15
6,2684.0,13.8,740.5,-0.6,129.7,0.0,"[76055,0,0,0,0,307106]",pos863-0-buildingData-25
7,2680.3,13.8,744.2,-1.5,82.9,0.0,"[82324,0,0,0,0,300837]",pos863-1-buildingData-25
8,2683.8,33.8,746.4,4.8,131.0,0.0,"[84246,0,0,0,0,298915]",pos863-0-buildingData-45
9,2681.8,33.8,744.1,-2.2,-100.1,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-45
10,2686.4,58.8,744.8,-0.2,5.3,-0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-70
11,2681.8,58.8,745.2,-1.0,97.5,0.0,"[110829,0,0,0,554,271778]",pos863-1-buildingData-70
12,2687.5,108.8,746.7,-4.7,-127.1,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-120
13,2678.7,108.8,739.9,-4.1,-119.6,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-120
14,2685.6,158.8,741.0,1.3,103.5,0.0,"[158619,0,0,0,1119,223423]",pos863-0-buildingData-170
15,2685.0,158.8,745.3,1.3,55.2,0.0,"[48751,0,0,0,0,334410]",pos863-1-buildingData-170
16,2678.6,208.8,741.6,1.6,-41.6,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-220
17,2686.5,208.8,746.7,-2.0,107.4,0.0,"[173224,0,0,0,1305,208632]",pos863-1-buildingData-220
18,2684.4,258.8,742.8,4.9,-59.2,0.0,"[0,0,0,0,0,383161]",pos863-0-buildingData-270
19,2681.8,258.8,746.9,-1.9,-16.5,0.0,"[0,0,0,0,0,383161]",pos863-1-buildingData-270
0,2.6,40.4,3.1,-1.4,-61.3,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-5
1,9.5,40.4,4.3,-2.1,-150.8,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-5
2,7.4,45.4,5.4,1.2,-147.7,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-10
3,12.0,45.4,6.6,4.5,-85.3,-0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-10
4,2.6,50.4,10.2,2.8,87.8,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-15
5,9.3,50.4,5.1,4.0,151.7,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-15
6,11.9,60.4,2.8,-3.7,-119.9,0.0,"[143874,0,0,0,0,239287]",pos961-0-buildingData-25
7,5.3,60.4,8.8,3.2,-167.4,0.0,"[155110,0,0,0,0,228051]",pos961-1-buildingData-25
8,10.8,80.4,3.8,-4.9,126.8,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-45
9,6.3,80.4,6.0,-1.1,112.6,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-45
10,2.6,105.4,5.8,-1.2,97.0,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-70
11,12.2,105.4,3.1,-4.2,-59.7,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-70
12,7.3,155.4,8.9,-1.8,112.5,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-120
13,10.6,155.4,11.1,-1.9,6.1,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-120
14,2.7,205.4,6.2,4.8,116.3,-0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-170
15,7.8,205.4,7.5,4.1,167.9,-0.0,"[5406,0,0,0,0,377755]",pos961-1-buildingData-170
16,2.7,255.4,7.7,3.1,-45.6,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-220
17,8.0,255.4,9.7,3.0,153.1,0.0,"[0,0,0,0,0,383161]",pos961-1-buildingData-220
18,10.8,305.4,8.8,4.5,105.0,0.0,"[0,0,0,0,0,383161]",pos961-0-buildingData-270
19,8.6,305.4,11.6,1.3,-116.1,-0.0,"[62164,0,0,0,703,320294]",pos961-1-buildingData-270
0,2274.8,10.0,998.6,-1.7,-80.1,0.0,"[0,0,0,0,0,383161]",pos806-0-buildingData-5
1,2268.5,10.0,1002.8,1.3,-126.3,0.0,"[2325,0,0,0,0,380836]",pos806-1-buildingData-5
2,2273.5,13.0,997.1,3.0,89.7,0.0,"[383161,0,0,0,0,0]",pos806-0-buildingData-10
3,2271.5,13.0,999.5,4.9,113.8,0.0,"[381395,0,0,0,0,1766]",pos806-1-buildingData-10
4,2267.6,18.0,996.2,-4.5,164.2,0.0,"[248061,0,0,0,0,135100]",pos806-0-buildingData-15
5,2268.6,18.0,999.2,3.8,-92.1,0.0,"[0,0,0,0,0,383161]",pos806-1-buildingData-15
6,2269.7,28.0,996.4,-4.2,-171.7,0.0,"[207125,0,0,0,0,176036]",pos806-0-buildingData-25
7,2274.0,28.0,1001.2,1.6,-163.5,0.0,"[110239,0,0,0,0,272922]",pos806-1-buildingData-25
8,2268.1,48.0,1000.3,-2.9,-111.4,0.0,"[11212,0,0,0,0,371949]",pos806-0-buildingData-45
9,2270.9,48.0,995.6,3.0,6.6,0.0,"[177742,0,0,0,0,205419]",pos806-1-buildingData-45
10,2268.1,73.0,996.8,-3.4,-72.8,-0.0,"[0,0,0,0,0,383161]",pos806-0-buildingData-70
11,2270.8,73.0,1003.8,4.7,133.7,0.0,"[184269,0,0,0,0,198892]",pos806-1-buildingData-70
12,2267.1,123.0,999.1,2.3,29.3,0.0,"[115935,0,0,0,0,267226]",pos806-0-buildingData-120
13,2268.2,123.0,1002.1,1.1,-126.7,0.0,"[5478,0,0,0,0,377683]",pos806-1-buildingData-120
14,2274.5,173.0,998.9,4.3,-131.4,0.0,"[7145,0,0,0,0,376016]",pos806-0-buildingData-170
15,2265.6,173.0,998.6,-3.2,83.6,0.0,"[180660,0,0,0,6448,196053]",pos806-1-buildingData-170
16,2272.9,223.0,999.3,4.2,88.3,-0.0,"[85358,0,0,0,6211,291592]",pos806-0-buildingData-220
17,2269.6,223.0,1001.2,-0.6,-120.3,-0.0,"[5651,0,0,0,0,377510]",pos806-1-buildingData-220
18,2268.7,273.0,997.0,4.1,-153.0,-0.0,"[6417,0,0,0,0,376744]",pos806-0-buildingData-270
19,2265.9,273.0,995.9,-3.9,170.0,-0.0,"[81811,0,0,0,0,301350]",pos806-1-buildingData-270
