,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,
non_empty_classes_names,[' building' ' water' ' road ' ' sidewalk' ' surface' ' tree' ' sky']
train_size,17145
test_size,4287
num_epochs,1000
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,7
xyz_centroid,[1401.02156558   61.61059813 1060.51179664]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.49075464  37.45397072 -15.56067396]
xyzh_max-min,359.9999590554437
criterion,MSELoss()
training_time_in_seconds,"1,490"
final_training_loss,0.00320740710723581
final_test_loss,0.008544448052443497
training_losses_summary,"[[0.4563492  0.43251427 0.35656144 0.33437063 0.38129818 0.34852386 0.30182905]
 [0.04190091 0.0061173  0.00148372 0.00019334 0.00678708 0.02075896 0.02330588]
 [0.03125443 0.00333406 0.00125928 0.00017571 0.00463036 0.01408781 0.0173307 ]
 [0.02517246 0.00225527 0.00098771 0.0001681  0.0037848  0.01112478 0.01426243]
 [0.02118583 0.00167069 0.00083873 0.00016168 0.00315974 0.00915416 0.01202408]
 [0.01849655 0.001382   0.00076428 0.00015514 0.00246852 0.0078553  0.01050301]
 [0.01581914 0.0011708  0.00071473 0.0001503  0.00206002 0.00677726 0.00906734]
 [0.01355357 0.00101674 0.00067581 0.00014578 0.00175061 0.00591878 0.00767671]
 [0.01229432 0.00091812 0.00064192 0.00014246 0.00155722 0.00538163 0.0068895 ]
 [0.01038123 0.00082064 0.00060674 0.00013926 0.0014009  0.0047339  0.00598858]]"
test_losses_summary,"[[0.38232309 0.07169977 0.0034973  0.00141127 0.01639269 0.09737725 0.26226411]
 [0.0470679  0.00674802 0.00134399 0.00020654 0.00715448 0.02257093 0.02396257]
 [0.03863637 0.0041664  0.0011966  0.00018948 0.00528313 0.01737036 0.0196837 ]
 [0.03661219 0.00323291 0.00103549 0.0001813  0.00440356 0.01572305 0.01804609]
 [0.03491049 0.00294099 0.00093703 0.00017571 0.00377926 0.01369747 0.01822328]
 [0.03171709 0.00233061 0.00085102 0.00016967 0.00321405 0.01223506 0.01656324]
 [0.04153333 0.00251661 0.00081365 0.00016564 0.00309176 0.01400535 0.01957214]
 [0.03507526 0.00202729 0.00079669 0.00016364 0.00263091 0.01322161 0.0163806 ]
 [0.03377708 0.00202939 0.0007734  0.0001621  0.00256956 0.01242149 0.01662191]
 [0.03033476 0.00160406 0.00073613 0.00015869 0.00233303 0.01098941 0.01560253]]"
