,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' tree' ' sky']
train_size,16985
test_size,4247
num_epochs,350
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,4
xyz_centroid,[1405.75168128   61.76370485 1065.28489355]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.23473534  37.42628072 -15.13309896]
xyzh_max-min,359.99998089890255
criterion,MSELoss()
training_time_in_seconds,699
final_training_loss,0.01068910935674395
final_test_loss,0.01938218379878727
training_losses_summary,"[[0.46921593 0.35255794 0.33320123 0.27266154]
 [0.05462543 0.01482872 0.03405279 0.03415644]
 [0.04305741 0.00751528 0.02418634 0.02482434]
 [0.0367044  0.00576555 0.01953459 0.02033262]
 [0.03248678 0.00475229 0.01688681 0.01776613]
 [0.02919044 0.0039685  0.01495843 0.01591959]
 [0.02645009 0.00350048 0.01367123 0.0145649 ]
 [0.02406811 0.00298354 0.01238539 0.01340044]
 [0.02294619 0.00262896 0.01136373 0.01268587]
 [0.0210892  0.00232485 0.01045851 0.01172264]]"
test_losses_summary,"[[0.3772534  0.07025715 0.09954594 0.25947571]
 [0.05989973 0.01491526 0.03512279 0.03998378]
 [0.05312663 0.0084806  0.02599759 0.03193835]
 [0.04315311 0.007043   0.02151155 0.02510865]
 [0.04294068 0.00617924 0.02020575 0.02550785]
 [0.03924973 0.00571475 0.01862417 0.02255116]
 [0.03919974 0.00509626 0.01821219 0.0223555 ]
 [0.03915172 0.00476104 0.01732946 0.02235907]
 [0.03721214 0.00428432 0.01694199 0.02107503]
 [0.03812645 0.00403255 0.01639934 0.02167453]
 [0.03817703 0.00384935 0.01611624 0.02188878]]"
