,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' tree' ' sky']
train_size,17145
test_size,4287
num_epochs,350
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,4
xyz_centroid,[1401.02156558   61.61059813 1060.51179664]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.49075464  37.45397072 -15.56067396]
xyzh_max-min,359.9999590554437
criterion,MSELoss()
training_time_in_seconds,685
final_training_loss,0.01094133267496736
final_test_loss,0.017228103606099863
training_losses_summary,"[[0.42833067 0.28612729 0.25194536 0.27380481]
 [0.05680359 0.01284761 0.03110313 0.03369481]
 [0.045546   0.00705129 0.02247387 0.025938  ]
 [0.03940151 0.00518389 0.0184843  0.02187032]
 [0.03461837 0.00409394 0.01579115 0.01928045]
 [0.03120176 0.00332791 0.01394031 0.01741309]
 [0.02827195 0.00268655 0.01254984 0.01570485]
 [0.02623778 0.00226059 0.0114721  0.01466622]
 [0.02424695 0.0019432  0.010502   0.01346571]
 [0.02247854 0.00169926 0.00970705 0.01258027]]"
test_losses_summary,"[[0.36201466 0.0684897  0.1022187  0.24264394]
 [0.05774425 0.01457601 0.03467019 0.03144479]
 [0.04530616 0.00824012 0.02378392 0.02511434]
 [0.04123614 0.00634356 0.02025715 0.02227863]
 [0.04106178 0.0051978  0.01797506 0.02223405]
 [0.03848774 0.00432579 0.01678491 0.02019425]
 [0.03697552 0.00364826 0.01526918 0.01989812]
 [0.03541888 0.00318248 0.01457691 0.01825077]
 [0.0351243  0.00285518 0.01386941 0.01797586]
 [0.03463645 0.00249737 0.01340585 0.01804273]
 [0.03492113 0.00253306 0.01300866 0.01825278]]"
