,0
classes_names,"['greeness', 'openness', 'imageability', 'encolusre', 'walkability', 'serenity']"
mpc,
non_empty_classes_names,['greeness' 'openness' 'imageability' 'encolusre' 'walkability' 'serenity']
train_size,17145
test_size,4287
num_epochs,350
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,6
xyz_centroid,[1401.02156558   61.61059813 1060.51179664]
xyz_max-min,3001.2469314885
xyzh_centroid,[ 22.49075464  37.45397072 -15.56067396]
xyzh_max-min,359.99995905549997
criterion,MSELoss()
training_time_in_seconds,609
final_training_loss,0.005687971111036807
final_test_loss,0.008563345637557325
training_losses_summary,"[[0.42288205 0.38464827 0.39503763 0.36301918 0.31987864 0.33177019]
 [0.05861096 0.01232881 0.00168094 0.00032627 0.01184447 0.03271981]
 [0.04535267 0.00698682 0.00154357 0.00031504 0.00885563 0.02187897]
 [0.03853919 0.00500595 0.00143395 0.00029343 0.00734127 0.01748552]
 [0.03373042 0.00375882 0.00129823 0.00024898 0.00621183 0.0151797 ]
 [0.03022047 0.00297878 0.00116918 0.00020784 0.00487308 0.01351892]
 [0.02746209 0.00247837 0.00106406 0.00019242 0.00395177 0.0121508 ]
 [0.02531698 0.00208737 0.00097688 0.00018467 0.00337425 0.01106992]
 [0.02361012 0.00184787 0.00091251 0.00017987 0.00295638 0.01014062]
 [0.02218645 0.00162851 0.00087015 0.00017542 0.00265331 0.00952938]]"
test_losses_summary,"[[0.37121624 0.07014318 0.0022705  0.00171605 0.01708034 0.10181982]
 [0.05732782 0.01411425 0.0014979  0.00034885 0.01259776 0.03439813]
 [0.04702201 0.0078847  0.00140554 0.00034243 0.00947035 0.02256038]
 [0.04373064 0.00659457 0.00133815 0.00032406 0.00791891 0.0194829 ]
 [0.03853826 0.00464019 0.00123488 0.00027614 0.00673231 0.01730991]
 [0.03858602 0.00392515 0.00113971 0.00022303 0.00578292 0.01735847]
 [0.03698378 0.00356462 0.00108493 0.00020297 0.00460491 0.01566616]
 [0.03817411 0.0034918  0.00102865 0.00019043 0.00409202 0.01527261]
 [0.03516138 0.00307651 0.0009845  0.00018822 0.00364059 0.01425449]
 [0.03463017 0.00281179 0.0009658  0.00018551 0.00328229 0.01379047]
 [0.03304761 0.00249836 0.00094278 0.00018429 0.00306007 0.01308558]]"
