,0
classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscelaneous']"
mpc,
non_empty_classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscelaneous']"
train_size,27984
test_size,6996
num_epochs,350
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,8
xyz_centroid,[1403.98796741  112.124757   1071.47985992]
xyz_max-min,3010.3
xyzh_centroid,[ 0.02118353 -0.75126644  0.        ]
xyzh_max-min,360.0
criterion,ScaledWeightedMSELoss()
training_time_in_seconds,"1,027"
final_training_loss,0.001235340466510383
final_test_loss,0.0029517108190585334
training_losses_summary,"[[0.09977053 0.09977053 0.09977053 0.09977053 0.09977053 0.09977053 0.09977053 0.09977053]
 [0.0042044  0.0042044  0.0042044  0.0042044  0.0042044  0.0042044  0.0042044  0.0042044 ]
 [0.00303843 0.00303843 0.00303843 0.00303843 0.00303843 0.00303843 0.00303843 0.00303843]
 [0.00254849 0.00254849 0.00254849 0.00254849 0.00254849 0.00254849 0.00254849 0.00254849]
 [0.00224285 0.00224285 0.00224285 0.00224285 0.00224285 0.00224285 0.00224285 0.00224285]
 [0.00195023 0.00195023 0.00195023 0.00195023 0.00195023 0.00195023 0.00195023 0.00195023]
 [0.00175117 0.00175117 0.00175117 0.00175117 0.00175117 0.00175117 0.00175117 0.00175117]
 [0.00159235 0.00159235 0.00159235 0.00159235 0.00159235 0.00159235 0.00159235 0.00159235]
 [0.00144217 0.00144217 0.00144217 0.00144217 0.00144217 0.00144217 0.00144217 0.00144217]
 [0.0013     0.0013     0.0013     0.0013     0.0013     0.0013     0.0013     0.0013    ]]"
test_losses_summary,"[[0.03453797 0.03453797 0.03453797 0.03453797 0.03453797 0.03453797 0.03453797 0.03453797]
 [0.00453798 0.00453798 0.00453798 0.00453798 0.00453798 0.00453798 0.00453798 0.00453798]
 [0.00361364 0.00361364 0.00361364 0.00361364 0.00361364 0.00361364 0.00361364 0.00361364]
 [0.00334236 0.00334236 0.00334236 0.00334236 0.00334236 0.00334236 0.00334236 0.00334236]
 [0.00327031 0.00327031 0.00327031 0.00327031 0.00327031 0.00327031 0.00327031 0.00327031]
 [0.00311082 0.00311082 0.00311082 0.00311082 0.00311082 0.00311082 0.00311082 0.00311082]
 [0.00302622 0.00302622 0.00302622 0.00302622 0.00302622 0.00302622 0.00302622 0.00302622]
 [0.00302671 0.00302671 0.00302671 0.00302671 0.00302671 0.00302671 0.00302671 0.00302671]
 [0.00308569 0.00308569 0.00308569 0.00308569 0.00308569 0.00308569 0.00308569 0.00308569]
 [0.00290987 0.00290987 0.00290987 0.00290987 0.00290987 0.00290987 0.00290987 0.00290987]
 [0.00296416 0.00296416 0.00296416 0.00296416 0.00296416 0.00296416 0.00296416 0.00296416]]"
