,0
classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscellaneous']"
mpc,
non_empty_classes_names,"['building', 'water', 'road', 'sidewalk', 'surface', 'tree', 'sky', 'miscellaneous']"
train_size,27984
test_size,6996
num_epochs,1000
pos_enc_dim,10
tsp,1
batch_size,8
label_name,f_xyz
enc_input_size,60
num_present_classes,8
xyz_centroid,[1403.98796741  112.124757   1071.47985992]
xyz_max-min,3010.3
xyzh_centroid,[ 0.02118353 -0.75126644  0.        ]
xyzh_max-min,360.0
criterion,MSELoss()
training_time_in_seconds,"12,878"
final_training_loss,0.002111825359180293
final_test_loss,0.033231949993691334
training_losses_summary,"[[0.31383053 0.11959047 0.0746749  0.07094513 0.11499057 0.25083547 0.33830588 0.06506503]
 [0.04829905 0.0156091  0.00432179 0.00116919 0.02532985 0.05333226 0.0238789  0.00001077]
 [0.02929918 0.01143552 0.00405461 0.00106067 0.01827537 0.03152926 0.01608048 0.00001053]
 [0.01932777 0.00898824 0.00370572 0.00100783 0.01429533 0.02006544 0.01235874 0.00001024]
 [0.01341618 0.00662666 0.00326517 0.00095347 0.01108189 0.01360071 0.00910845 0.00000993]
 [0.00990016 0.00481049 0.00281665 0.00091634 0.00862101 0.00946834 0.00706972 0.00000954]
 [0.00827126 0.00347681 0.00237892 0.00087584 0.00671154 0.00781681 0.00592109 0.00000933]
 [0.00646151 0.00264064 0.00197425 0.00082599 0.00558637 0.00621582 0.00469786 0.00000909]
 [0.0049825  0.00219898 0.00156051 0.00078369 0.00461271 0.00476409 0.00394267 0.00000917]
 [0.00429079 0.00176802 0.001322   0.00075441 0.00372051 0.00412918 0.00332454 0.00000891]]"
test_losses_summary,"[[0.2270376  0.06364277 0.00453969 0.00192018 0.06744296 0.19537542 0.15173317 0.00048202]
 [0.07215625 0.01806924 0.00403051 0.0011553  0.03051273 0.08293195 0.03627377 0.000008  ]
 [0.0778612  0.01638598 0.0039763  0.00106317 0.02677343 0.08565923 0.03391889 0.00000784]
 [0.07923437 0.01624512 0.00400586 0.00106166 0.02818745 0.09076536 0.03444143 0.000008  ]
 [0.08197127 0.01696666 0.00424945 0.00108317 0.02903323 0.08857494 0.03349436 0.00000846]
 [0.08390672 0.01827529 0.00428445 0.00106943 0.03059628 0.09469619 0.03338865 0.00000881]
 [0.08390076 0.02017612 0.00462441 0.00108906 0.03353452 0.09382616 0.0343956  0.00000949]
 [0.08370986 0.02106528 0.00487619 0.00107552 0.03265872 0.09267273 0.03438094 0.00000922]
 [0.08343685 0.02059838 0.0048294  0.0010888  0.03253856 0.09126098 0.03409083 0.00000894]
 [0.08236545 0.0212843  0.00512594 0.00111082 0.03395444 0.09081903 0.03415273 0.00000958]]"
