x,y,z,xh,yh,zh,f_xyz,image_name
354.7,40.3,847.2,-4.1,-126.6,0.0,"[0,0,0,0,25055,358106,0,0]",pos403-0-visibility-5
355.2,40.3,845.1,-3.0,167.8,-0.0,"[0,0,0,14380,9556,359225,0,0]",pos403-1-visibility-5
355.0,45.3,852.6,4.3,-41.1,0.0,"[0,0,0,0,0,383161,0,0]",pos403-0-visibility-10
354.9,45.3,854.4,-3.1,69.7,0.0,"[0,0,0,0,0,383161,0,0]",pos403-1-visibility-10
359.8,50.3,848.3,2.9,113.4,0.0,"[0,0,0,0,0,383161,0,0]",pos403-0-visibility-15
355.6,50.3,853.3,2.4,-139.7,0.0,"[9833,0,36,322,4774,226730,141466,0]",pos403-1-visibility-15
361.6,60.3,853.3,2.7,42.9,0.0,"[46867,0,0,0,1367,150383,184544,0]",pos403-0-visibility-25
361.3,60.3,848.3,1.9,-140.7,0.0,"[40661,0,2,2199,83487,69613,187199,0]",pos403-1-visibility-25
352.8,80.3,849.4,3.0,7.3,0.0,"[51087,459,108,299,1801,121943,207464,0]",pos403-0-visibility-45
353.9,80.3,850.6,-1.1,-137.9,0.0,"[63683,0,0,2458,81277,65410,170333,0]",pos403-1-visibility-45
352.8,105.3,848.5,1.9,-169.3,-0.0,"[27239,4544,264,3348,24822,79341,243602,1]",pos403-0-visibility-70
360.7,105.3,853.9,-1.0,-176.6,0.0,"[13167,6683,243,4223,55478,79999,223367,1]",pos403-1-visibility-70
353.3,155.3,852.8,1.8,-120.0,-0.0,"[127107,0,1862,840,1431,22840,229067,14]",pos403-0-visibility-120
360.4,155.3,849.1,-1.6,140.9,0.0,"[1756,309,904,3014,19428,42804,314946,0]",pos403-1-visibility-120
356.7,205.3,853.0,-0.5,63.5,0.0,"[180,0,0,0,0,0,382981,0]",pos403-0-visibility-170
356.0,205.3,853.7,-0.5,-156.0,0.0,"[80659,0,147,727,4254,32251,265116,7]",pos403-1-visibility-170
355.3,255.3,854.1,-4.5,-22.8,0.0,"[0,46599,266,1865,6056,25231,303144,0]",pos403-0-visibility-220
361.2,255.3,849.1,3.8,0.3,-0.0,"[12602,0,0,0,0,0,370559,0]",pos403-1-visibility-220
360.5,305.3,848.8,4.8,-79.9,0.0,"[53639,1674,7,1,93,285,327462,0]",pos403-0-visibility-270
360.8,305.3,848.3,-3.9,155.1,0.0,"[1227,2975,0,1580,9348,896,367135,0]",pos403-1-visibility-270
