,x,y,z,xh,yh,zh,f_xyz,image_name
0,570.5,31.4,1362.7,1.1,139.3,0.0,"[0,0,482,9268,31244,342167,0,0]",pos2145-0-visibility-5
1,570.9,31.4,1361.6,-3.5,-55.6,0.0,"[21,0,0,0,121278,261862,0,0]",pos2145-1-visibility-5
2,564.7,36.4,1362.6,3.1,-66.5,-0.0,"[238,0,0,0,0,382800,123,0]",pos2145-0-visibility-10
3,566.1,36.4,1359.1,1.5,-14.3,-0.0,"[33892,0,0,0,29836,319433,0,0]",pos2145-1-visibility-10
4,571.8,41.4,1362.5,4.5,92.1,0.0,"[0,0,0,0,4167,185014,193980,0]",pos2145-0-visibility-15
5,567.0,41.4,1362.6,1.2,-166.6,0.0,"[39393,0,0,0,0,267009,76759,0]",pos2145-1-visibility-15
6,565.3,51.4,1362.8,3.8,-72.0,0.0,"[224103,0,0,0,0,14083,144975,0]",pos2145-0-visibility-25
7,565.3,51.4,1359.4,3.3,-95.5,0.0,"[196683,0,0,0,0,63555,122923,0]",pos2145-1-visibility-25
8,563.0,71.4,1358.0,4.4,107.4,0.0,"[295,993,1995,4279,34073,49995,291531,0]",pos2145-0-visibility-45
9,565.8,71.4,1356.5,-4.3,-169.0,-0.0,"[138770,15,323,4314,13547,125036,101075,81]",pos2145-1-visibility-45
10,564.1,96.4,1364.2,1.9,110.3,-0.0,"[326,2687,122,10306,71495,5007,293218,0]",pos2145-0-visibility-70
11,565.7,96.4,1357.1,2.8,141.7,0.0,"[2411,468,519,1228,12381,44764,321390,0]",pos2145-1-visibility-70
12,566.0,146.4,1365.3,1.9,-84.4,-0.0,"[162340,0,28,9,0,505,220279,0]",pos2145-0-visibility-120
13,562.5,146.4,1365.8,4.6,46.9,-0.0,"[9563,0,263,238,2015,52879,318203,0]",pos2145-1-visibility-120
14,568.3,196.4,1361.4,2.2,60.2,-0.0,"[0,0,0,151,1725,16964,364321,0]",pos2145-0-visibility-170
15,566.0,196.4,1363.2,-1.6,-46.5,-0.0,"[117125,8299,867,1801,2219,30886,221926,38]",pos2145-1-visibility-170
16,563.0,246.4,1362.5,2.4,-3.1,0.0,"[8816,45770,59,1258,2364,15088,309801,5]",pos2145-0-visibility-220
17,563.3,246.4,1361.3,-1.3,80.1,0.0,"[0,0,0,0,0,0,383161,0]",pos2145-1-visibility-220
18,570.0,296.4,1362.3,-2.2,156.0,-0.0,"[0,0,0,0,0,0,383161,0]",pos2145-0-visibility-270
19,564.1,296.4,1362.4,2.7,102.5,0.0,"[0,0,0,0,0,0,383161,0]",pos2145-1-visibility-270
0,630.0,37.0,778.6,-0.7,-67.4,0.0,"[2311,131,0,24880,127747,228085,0,7]",pos1199-0-visibility-5
1,625.5,37.0,774.1,0.3,-47.3,-0.0,"[0,235,0,23147,119448,240255,76,0]",pos1199-1-visibility-5
2,628.0,42.0,778.4,-1.5,-29.3,0.0,"[0,0,0,0,555,382606,0,0]",pos1199-0-visibility-10
3,631.4,42.0,773.8,-4.3,155.6,-0.0,"[0,0,0,0,0,383161,0,0]",pos1199-1-visibility-10
4,624.5,47.0,779.2,-4.0,31.6,0.0,"[0,0,14,2589,13994,355258,11306,0]",pos1199-0-visibility-15
5,628.8,47.0,778.0,-4.5,69.0,-0.0,"[92344,0,43540,21577,30271,98705,96250,474]",pos1199-1-visibility-15
6,627.3,57.0,775.8,-2.8,52.5,-0.0,"[35016,0,21422,6731,7163,180022,132379,428]",pos1199-0-visibility-25
7,632.8,57.0,778.5,-3.4,29.5,0.0,"[39434,5496,61,820,894,218233,118223,0]",pos1199-1-visibility-25
8,628.4,77.0,775.3,2.0,156.4,0.0,"[2268,714,0,310,9278,132965,237626,0]",pos1199-0-visibility-45
9,633.0,77.0,776.9,0.7,86.2,0.0,"[25481,0,470,4112,12863,129659,210576,0]",pos1199-1-visibility-45
10,632.0,102.0,772.5,-0.6,-130.1,0.0,"[106937,18041,1414,4429,5881,71834,174611,14]",pos1199-0-visibility-70
11,632.5,102.0,776.6,4.5,-59.6,0.0,"[33401,62125,201,2762,3297,22339,259036,0]",pos1199-1-visibility-70
12,630.5,152.0,778.8,-4.4,-58.5,0.0,"[43467,102650,270,3048,4580,27171,201973,2]",pos1199-0-visibility-120
13,631.5,152.0,780.6,1.6,-166.8,0.0,"[130929,0,0,0,0,3877,248354,1]",pos1199-1-visibility-120
14,629.4,202.0,780.3,-4.1,34.5,0.0,"[73754,10855,654,2785,10801,49319,234989,4]",pos1199-0-visibility-170
15,631.5,202.0,781.5,4.2,61.3,-0.0,"[21123,0,0,0,8,470,361560,0]",pos1199-1-visibility-170
16,628.8,252.0,778.9,0.3,47.6,0.0,"[44015,0,55,32,96,1582,337381,0]",pos1199-0-visibility-220
17,631.4,252.0,776.8,0.7,138.6,0.0,"[522,1544,0,3604,20300,778,356413,0]",pos1199-1-visibility-220
18,632.8,302.0,774.8,4.5,-22.2,-0.0,"[0,0,0,0,0,0,383161,0]",pos1199-0-visibility-270
19,630.0,302.0,772.2,-4.3,120.0,0.0,"[0,79,42,1617,8136,4639,368648,0]",pos1199-1-visibility-270
0,1915.8,15.8,1963.9,2.6,-25.5,0.0,"[383161,0,0,0,0,0,0,0]",pos2075-0-visibility-5
1,1906.7,15.8,1964.9,4.5,-60.5,0.0,"[354870,0,0,0,0,28291,0,0]",pos2075-1-visibility-5
2,1916.0,20.8,1972.7,1.5,55.5,0.0,"[0,0,0,0,0,383161,0,0]",pos2075-0-visibility-10
3,1908.4,20.8,1967.5,2.4,128.0,0.0,"[383161,0,0,0,0,0,0,0]",pos2075-1-visibility-10
4,1912.3,25.8,1965.3,-4.5,-80.4,-0.0,"[55346,0,0,0,0,326873,942,0]",pos2075-0-visibility-15
5,1908.0,25.8,1971.8,-0.8,71.6,-0.0,"[251873,0,0,0,0,114872,16416,0]",pos2075-1-visibility-15
6,1913.8,35.8,1970.3,3.1,58.4,0.0,"[248963,0,7976,4174,5893,29218,86817,120]",pos2075-0-visibility-25
7,1906.5,35.8,1971.2,0.2,117.0,-0.0,"[383161,0,0,0,0,0,0,0]",pos2075-1-visibility-25
8,1911.1,55.8,1965.8,1.8,130.2,0.0,"[338621,0,0,0,0,0,44540,0]",pos2075-0-visibility-45
9,1911.7,55.8,1964.9,2.2,169.8,0.0,"[0,0,0,0,0,0,383161,0]",pos2075-1-visibility-45
10,1915.8,80.8,1964.6,4.4,-65.5,0.0,"[237839,1932,0,0,3,820,142567,0]",pos2075-0-visibility-70
11,1916.3,80.8,1968.0,5.0,-153.9,0.0,"[0,0,0,0,0,0,383161,0]",pos2075-1-visibility-70
12,1907.1,130.8,1968.8,1.8,-157.9,-0.0,"[0,0,0,0,0,0,383161,0]",pos2075-0-visibility-120
13,1910.8,130.8,1969.2,-3.5,-131.9,-0.0,"[16373,0,0,0,0,0,366788,0]",pos2075-1-visibility-120
14,1911.9,180.8,1965.4,0.9,126.2,0.0,"[0,0,0,0,0,0,383161,0]",pos2075-0-visibility-170
15,1907.5,180.8,1969.3,0.0,64.0,-0.0,"[143203,0,1082,439,1006,10377,227032,22]",pos2075-1-visibility-170
16,1914.7,230.8,1969.8,4.7,3.1,-0.0,"[81551,0,4,12,142,2090,299362,0]",pos2075-0-visibility-220
17,1909.1,230.8,1972.0,4.0,-100.5,0.0,"[1915,5345,0,47,677,2149,373028,0]",pos2075-1-visibility-220
