,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,
non_empty_classes_names,[' building' ' water' ' road ' ' sidewalk' ' surface' ' tree' ' sky' ' miscelaneous']
train_size,50956
test_size,12740
num_epochs,1000
pos_enc_dim,10
tsp,1
label_name,f_xyz
enc_input_size,60
num_present_classes,8
xyz_centroid,[1412.16323363  161.32110377 1063.48431207]
xyz_max-min,3001.246931488514
xyzh_centroid,[-10.68535702  37.79188904   1.40518917]
xyzh_max-min,359.99998089890255
criterion,MSELoss()
training_time_in_seconds,"4,424"
final_training_loss,0.0006725677500515272
final_test_loss,0.0026997222459075256
training_losses_summary,"[[0.22433774 0.17361819 0.1138662  0.18157749 0.10536943 0.13785321 0.19752995 0.13367155]
 [0.01301612 0.00189594 0.00063616 0.00010406 0.00233196 0.00577884 0.0073433  0.00000012]
 [0.00964551 0.00101074 0.0004288  0.00008556 0.00124306 0.00406274 0.00542947 0.00000011]
 [0.00785698 0.0006824  0.00033312 0.00007904 0.00084847 0.00323873 0.00444859 0.0000001 ]
 [0.00626052 0.00052691 0.00029601 0.00007475 0.00069017 0.00269883 0.00354256 0.0000001 ]
 [0.00517309 0.00041857 0.00026912 0.00007166 0.00058232 0.00232857 0.002957   0.0000001 ]
 [0.004126   0.00034918 0.00024806 0.00006804 0.00050248 0.00194786 0.00241218 0.00000009]
 [0.00331031 0.00029821 0.00023319 0.00006477 0.00045163 0.00169074 0.00196205 0.00000009]
 [0.00281878 0.00027631 0.00022058 0.00006159 0.00040821 0.00151186 0.00168818 0.00000009]
 [0.00244349 0.00023791 0.00020874 0.00005905 0.00036939 0.00129216 0.00154365 0.00000009]]"
test_losses_summary,"[[0.17259109 0.07576354 0.00116593 0.00035654 0.01662523 0.05701247 0.18789799 0.00023768]
 [0.01580273 0.00212278 0.00074783 0.00010824 0.00242345 0.00704691 0.00894589 0.00000012]
 [0.01343526 0.00156115 0.00054129 0.00009026 0.00141715 0.00567808 0.00783406 0.00000011]
 [0.01379202 0.0010485  0.00041886 0.00008421 0.00108203 0.00491157 0.00824411 0.00000011]
 [0.01267545 0.00090813 0.00036221 0.00007949 0.0009548  0.00462966 0.00741838 0.00000011]
 [0.01157407 0.00081939 0.00033363 0.00007758 0.00079836 0.0042665  0.00659948 0.00000011]
 [0.01179525 0.00074525 0.00032055 0.00007625 0.00075489 0.00414394 0.00678083 0.0000001 ]
 [0.01173752 0.00070487 0.00030395 0.00007383 0.00069976 0.00408848 0.00684316 0.0000001 ]
 [0.01111615 0.00059089 0.00029085 0.00007279 0.00070349 0.00390728 0.00655238 0.0000001 ]
 [0.01108103 0.00058762 0.00027892 0.00007067 0.00065921 0.00391583 0.00660155 0.0000001 ]]"
