,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' tree' ' sky']
train_size,20985
test_size,5247
num_epochs,350
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,4
xyz_centroid,[1406.54009895   61.762011   1061.20413751]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.43477189  37.63691096 -15.5006524 ]
xyzh_max-min,359.99998089890255
criterion,MSELoss()
training_time_in_seconds,763
final_training_loss,0.010342492992276416
final_test_loss,0.018627514497741554
training_losses_summary,"[[0.4033753  0.3733723  0.25652288 0.27195176]
 [0.05120072 0.01028645 0.02689887 0.03018968]
 [0.04006568 0.0060711  0.01963204 0.02273039]
 [0.0352249  0.00445944 0.01638493 0.01952921]
 [0.03147079 0.00348638 0.01429223 0.01728786]
 [0.02841105 0.00290876 0.01272906 0.0157821 ]
 [0.02597821 0.00242269 0.01154999 0.0142228 ]
 [0.02464702 0.00206777 0.01062936 0.01357228]
 [0.02234862 0.0018268  0.00970371 0.01241619]
 [0.02146883 0.00160477 0.00907964 0.01203076]]"
test_losses_summary,"[[0.36222509 0.06522386 0.09964198 0.2442911 ]
 [0.05820005 0.01155064 0.03003806 0.03387088]
 [0.05049687 0.00708664 0.02261673 0.02916976]
 [0.04580044 0.00535612 0.01934434 0.02597924]
 [0.04332319 0.00420565 0.0169525  0.02495331]
 [0.04147054 0.00349984 0.01560636 0.02381208]
 [0.0410087  0.00298016 0.01457712 0.02353426]
 [0.04007752 0.00271525 0.01399227 0.02299694]
 [0.03907512 0.0023692  0.01342793 0.02261639]
 [0.0395441  0.00239237 0.01326863 0.0229687 ]
 [0.0381763  0.00229074 0.01297042 0.0219405 ]]"
