,0
classes_names,"[' building', ' water', ' road ', ' sidewalk', ' surface', ' tree', ' sky', ' miscelaneous']"
mpc,0.05
non_empty_classes_names,[' building' ' water' ' road ' ' sidewalk' ' surface' ' tree' ' sky']
train_size,20985
test_size,5247
num_epochs,450
pos_enc_dim,10
tsp,1
enc_input_size,60
num_present_classes,7
xyz_centroid,[1406.54009895   61.762011   1061.20413751]
xyz_max-min,3001.246931488514
xyzh_centroid,[ 22.43477189  37.63691096 -15.5006524 ]
xyzh_max-min,359.99998089890255
criterion,MSELoss()
training_time_in_seconds,"1,017"
final_training_loss,0.005808875078095259
final_test_loss,0.011072139187513843
training_losses_summary,"[[0.41378571 0.33062645 0.29221291 0.31411099 0.30148401 0.3231536  0.28876871]
 [0.05026573 0.00996913 0.00138991 0.00026587 0.01027588 0.02924601 0.0294761 ]
 [0.03938867 0.00580026 0.00129282 0.00020491 0.00741005 0.0188941  0.02193399]
 [0.03323914 0.00397403 0.0012028  0.00018331 0.00600393 0.0149536  0.01835758]
 [0.02929422 0.00296906 0.00111648 0.00017303 0.00485503 0.01252593 0.01640308]
 [0.02628602 0.0024506  0.00103143 0.0001687  0.00399659 0.01113483 0.01467108]
 [0.0238244  0.00207435 0.00095289 0.0001642  0.00346694 0.01010048 0.01328084]
 [0.02261917 0.00179777 0.00088438 0.00016179 0.00307544 0.00940218 0.0125809 ]
 [0.0204844  0.00155179 0.00081866 0.00015883 0.00271121 0.00867856 0.01154075]
 [0.01930833 0.00138842 0.00076044 0.00015679 0.00244617 0.00819621 0.01086453]]"
test_losses_summary,"[[0.38072076 0.06839412 0.00433883 0.00128557 0.0141083  0.10051369 0.26250366]
 [0.05933256 0.01099636 0.00197397 0.00026034 0.00874926 0.03241202 0.03366956]
 [0.05142472 0.00673215 0.00182061 0.00021239 0.00632955 0.02226255 0.02906768]
 [0.04515725 0.0045938  0.00165786 0.0001926  0.00540209 0.01764379 0.02553083]
 [0.04785507 0.00393044 0.0015179  0.00018516 0.00486889 0.01752838 0.02751542]
 [0.04084657 0.00289563 0.00140434 0.00017721 0.00386536 0.01463425 0.0236733 ]
 [0.04154778 0.00296847 0.0013101  0.00017372 0.00354675 0.01389401 0.02340701]
 [0.04203273 0.00274869 0.0011846  0.00016991 0.00326367 0.01396196 0.02456646]
 [0.03817846 0.00211988 0.00104745 0.00016762 0.00283277 0.01261261 0.02198186]
 [0.03769271 0.00189949 0.00095881 0.00016631 0.00259321 0.01312606 0.02214226]
 [0.03833472 0.00200603 0.00089495 0.00016612 0.00253467 0.01214429 0.02284611]]"
